Filo;您好！;;;;;;;;;……
Filo;我在这里管理Filomena。 请叫我Filo！;;;;;;;;;あら、こんにちは！
游戏者;……;;;;;;雪人？;告诉我该怎么做;;私はここの管理をしているオペレーター、フィロメナよ。
Filo;我为什么是个雪人？;Filo;有动力是一件好事！;;;;;;;でも、呼びづらいからフィロって呼んで頂戴
Filo;决定了！ 真可爱！;Filo;那么，从现在开始你打算做什么呢;;;;;;;それじゃ、これからあなたに何をしてもらうかだけど
Filo;......除了这个笑话，我可以向你展示我想在这个世界上展示的世界;Filo;我想让你联系一个名叫“Danna”的女孩并击中敌人;;;;;;;やる事は簡単！とにかくこのゲームをプレイしてプレイしてプレイしまくってほしいの！
Filo;所有你看到的都是一样的。 请小心！;Filo;别担心，因为我会先与Danna联系;;;;;;;何回でもクリアしてもらって構わないわ。とにかく、あなたがこのゲームを進めてくれることが、私達のためになるの。素敵でしょ？
Filo;那么，从现在开始你打算做什么呢;Filo;这就是我应该尽快开始工作的原因！;;;;;;;名付けて「ゲーム中毒者量産計画」！なんちゃって！
Filo;我想让你联系一个名叫“Danna”的女孩并击中敌人;Filo;Let's go！;;;;;;;……
Filo;别担心，因为我会先与Danna联系;;end;;;;;;;………………
Filo;这就是我应该尽快开始工作的原因！;;;;;;;;;あら、そういえば選択肢の機能追加してなかったわね。
Filo;Let's go！;;;;;;;;;気が向いたら追加しておくわ！
;end;;;;;;;;;それじゃ、一方的な話もつまらないし、早速この子を起こしてみましょうか！
;;;;;;;;;;えいっ！
;;;;;;;;;;
;;;;;;;;;;……ん…
;;;;;;;;;;おはよー！ダナ！よく眠れた？
;;;;;;;;;;……
;;;;;;;;;;あれ、もしかして寝起きの機嫌が悪いタイプ？さっきの子のがまだ自然だったわよー
;;;;;;;;;;……雪だるまが……喋ってる……
;;;;;;;;;;なーに！そんなこと気にしてたの！？雪だるまだって喋るのよ。当たり前じゃない！
;;;;;;;;;;そうなの……
;;;;;;;;;;そうなの、そうなの！
;;;;;;;;;;……それじゃあなた、誰？私の名前も知ってたみたいだけど。
;;;;;;;;;;私の名前はフィロ！フィロメナ・ダナ・レイモンドっていうの！
;;;;;;;;;;ダナ…同じ名前ね
;;;;;;;;;;でしょ！私のはミドルネームだけど。ちょっと親近感沸いた？
;;;;;;;;;;余計に怪しいかも
;;;;;;;;;;（うぅ…なんだかこの子変なところで毒あるわね……）
