フィロメナ,こんにちは！,,,,,,,,,……
フィロメナ,私はここの管理をしているフィロメナ。フィロって呼んで頂戴！,,,,,,,,,あら、こんにちは！
プレイヤー,……,,,,,,雪だるま？,なにをしたらいいか教えてくれ,,私はここの管理をしているオペレーター、フィロメナよ。
フィロメナ,何故雪だるまなのかって？,フィロメナ,やる気があるのは良いことだわ！,,,,,,,でも、呼びづらいからフィロって呼んで頂戴
フィロメナ,決まってるじゃない！可愛いからよ！,フィロメナ,それじゃ、これからあなたに何をしてもらうかだけど,,,,,,,それじゃ、これからあなたに何をしてもらうかだけど
フィロメナ,……冗談はさておき、この世界では見せたい姿で見せることが出来るの,フィロメナ,”ダナ”と呼ばれる少女とコンタクトをとって、敵をやっつけていってほしいの,,,,,,,やる事は簡単！とにかくこのゲームをプレイしてプレイしてプレイしまくってほしいの！
フィロメナ,これからあなたが見るものは全て同じよ。気を付けてね！,フィロメナ,ダナとのファーストコンタクトは私がするから心配はいらないわ,,,,,,,何回でもクリアしてもらって構わないわ。とにかく、あなたがこのゲームを進めてくれることが、私達のためになるの。素敵でしょ？
フィロメナ,それじゃ、これからあなたに何をしてもらうかだけど,フィロメナ,そんなわけで、早速だけど仕事にとりかかりましょうか！,,,,,,,名付けて「ゲーム中毒者量産計画」！なんちゃって！
フィロメナ,”ダナ”と呼ばれる少女とコンタクトをとって、敵をやっつけていってほしいの,フィロメナ,レッツゴー！,,,,,,,……
フィロメナ,ダナとのファーストコンタクトは私がするから心配はいらないわ,,end,,,,,,,………………
フィロメナ,そんなわけで、早速だけど仕事にとりかかりましょうか！,,,,,,,,,あら、そういえば選択肢の機能追加してなかったわね。
フィロメナ,レッツゴー！,,,,,,,,,気が向いたら追加しておくわ！
,end,,,,,,,,,それじゃ、一方的な話もつまらないし、早速この子を起こしてみましょうか！
,,,,,,,,,,えいっ！
,,,,,,,,,,
,,,,,,,,,,……ん…
,,,,,,,,,,おはよー！ダナ！よく眠れた？
,,,,,,,,,,……
,,,,,,,,,,あれ、もしかして寝起きの機嫌が悪いタイプ？さっきの子のがまだ自然だったわよー
,,,,,,,,,,……雪だるまが……喋ってる……
,,,,,,,,,,なーに！そんなこと気にしてたの！？雪だるまだって喋るのよ。当たり前じゃない！
,,,,,,,,,,そうなの……
,,,,,,,,,,そうなの、そうなの！
,,,,,,,,,,……それじゃあなた、誰？私の名前も知ってたみたいだけど。
,,,,,,,,,,私の名前はフィロ！フィロメナ・ダナ・レイモンドっていうの！
,,,,,,,,,,ダナ…同じ名前ね
,,,,,,,,,,でしょ！私のはミドルネームだけど。ちょっと親近感沸いた？
,,,,,,,,,,余計に怪しいかも
,,,,,,,,,,（うぅ…なんだかこの子変なところで毒あるわね……）
